course_title,course_organization,course_Certificate_type,course_rating,course_difficulty,students_enrolled_parsed
Systems Biology and Biotechnology,Icahn School of Medicine at Mount Sinai,SPECIALIZATION,4.4,Intermediate,48000
Systems Thinking In Public Health,Johns Hopkins University,COURSE,4.9,Mixed,33000
"TESOL Certificate, Part 1: Teach English Now!",Arizona State University,SPECIALIZATION,4.9,Beginner,100000
"TESOL Certificate, Part 2: Teach English Now!",Arizona State University,SPECIALIZATION,4.9,Beginner,62000
Teach English Now! Foundational Principles,Arizona State University,COURSE,4.9,Mixed,81000
Teach English Now! Teaching Language Online,Arizona State University,COURSE,4.4,Intermediate,8500
Teaching Character and Creating Positive Classrooms,Relay Graduate School of Education,COURSE,4.8,Mixed,53000
Teamwork Skills: Communicating Effectively in Groups,University of Colorado Boulder,COURSE,4.8,Beginner,49000
Technical Support Fundamentals,Google,COURSE,4.8,Beginner,280000
TensorFlow in Practice,deeplearning.ai,SPECIALIZATION,4.7,Intermediate,170000
TensorFlow: Data and Deployment,deeplearning.ai,SPECIALIZATION,4.5,Intermediate,12000
Terrorism and Counterterrorism: Comparing Theory and Practice,Universiteit Leiden,COURSE,4.8,Beginner,90000
The Addicted Brain,Emory University,COURSE,4.6,Beginner,130000
The Art of Music Production,Berklee College of Music,COURSE,4.8,Intermediate,47000
The Art of Sales: Mastering the Selling Process,Northwestern University,SPECIALIZATION,4.7,Beginner,23000
The Arts and Science of Relationships: Understanding Human Needs,University of Toronto,COURSE,4.5,Beginner,73000
The Bits and Bytes of Computer Networking,Google,COURSE,4.7,Beginner,130000
The Business of Health Care,University of Pennsylvania,SPECIALIZATION,4.6,Beginner,22000
The Business of Music Production,Berklee College of Music,SPECIALIZATION,4.8,Beginner,84000
The Changing Global Order,Universiteit Leiden,COURSE,4.7,Intermediate,23000
The Cycle: Management of Successful Arts and Cultural Organizations,"University of Maryland, College Park",COURSE,4.8,Beginner,11000
The DIY Musician,Berklee College of Music,SPECIALIZATION,4.8,Beginner,120000
The Data Scientist’s Toolbox,Johns Hopkins University,COURSE,4.6,Mixed,420000
The Economics of Health Care Delivery,University of Pennsylvania,COURSE,4.8,Mixed,7200
The Global Financial Crisis,Yale University,COURSE,4.8,Mixed,84000
The Horse Course: Introduction to Basic Care and Management,University of Florida,COURSE,4.9,Mixed,29000
The Manager's Toolkit: A Practical Guide to Managing People at Work,"Birkbeck, University of London",COURSE,4.6,Mixed,47000
"The Modern World, Part One: Global History from 1760 to 1910",University of Virginia,COURSE,4.8,Beginner,130000
"The Modern World, Part Two: Global History since 1910",University of Virginia,COURSE,4.8,Beginner,47000
The Oral Cavity: Portal to Health and Disease,University of Pennsylvania,COURSE,4.9,Intermediate,9400
The Power of Macroeconomics: Economic Principles in the Real World,"University of California, Irvine",COURSE,4.6,Mixed,180000
The Power of Microeconomics: Economic Principles in the Real World,"University of California, Irvine",COURSE,4.7,Mixed,120000
The Pronunciation of American English,"University of California, Irvine",SPECIALIZATION,4.6,Beginner,1700
The Science of Gastronomy,The Hong Kong University of Science and Technology,COURSE,4.6,Mixed,50000
The Science of Stem Cells,American Museum of Natural History,COURSE,4.7,Intermediate,12000
The Science of Success: What Researchers Know that You Should Know,University of Michigan,COURSE,4.8,Beginner,59000
The Science of Training Young Athletes,University of Florida,COURSE,4.9,Beginner,13000
The Science of Well-Being,Yale University,COURSE,4.9,Mixed,2500000
The Singer Songwriter,Berklee College of Music,SPECIALIZATION,4.8,Beginner,320000
The Social Context of Mental Health and Illness,University of Toronto,COURSE,4.6,Mixed,19000
The Strategy of Content Marketing,"University of California, Davis",COURSE,4.5,Intermediate,100000
"The Sustainable Development Goals – A global, transdisciplinary vision for the future",University of Copenhagen,COURSE,4.8,Beginner,26000
The Teacher and Social and Emotional Learning (SEL),University of Colorado Boulder,SPECIALIZATION,4.7,Beginner,5200
The Technology of Music Production,Berklee College of Music,COURSE,4.8,Beginner,28000
The Truth About Cats and Dogs,The University of Edinburgh,COURSE,4.7,Mixed,33000
The hidden value – Lean in manufacturing and services,École des Ponts ParisTech,COURSE,4.7,Beginner,14000
Think Again I: How to Understand Arguments,Duke University,COURSE,4.6,Beginner,200000
Tools for Data Science,IBM,COURSE,4.6,Beginner,120000
Trading Strategies in Emerging Markets,Indian School of Business,SPECIALIZATION,4.3,Beginner,68000
"Transmedia Storytelling: Narrative worlds, emerging technologies, and global audiences",UNSW Sydney (The University of New South Wales),COURSE,4.8,Mixed,45000
Tricky American English Pronunciation,"University of California, Irvine",COURSE,4.7,Beginner,110000
Troubles du spectre de l'autisme : diagnostic,University of Geneva,COURSE,4.9,Intermediate,5400
U.S. Federal Taxation,University of Illinois at Urbana-Champaign,SPECIALIZATION,4.8,Intermediate,12000
UCI Project Management,"University of California, Irvine",PROFESSIONAL CERTIFICATE,4.6,Beginner,44000
UI / UX Design,California Institute of the Arts,SPECIALIZATION,4.7,Beginner,68000
UX Design Fundamentals,California Institute of the Arts,COURSE,4.8,Beginner,25000
Understanding Cancer Metastasis,Johns Hopkins University,COURSE,4.8,Beginner,29000
Understanding Clinical Research: Behind the Statistics,University of Cape Town,COURSE,4.8,Mixed,78000
Understanding Einstein: The Special Theory of Relativity,Stanford University,COURSE,4.9,Beginner,89000
Understanding Medical Research: Your Facebook Friend is Wrong,Yale University,COURSE,4.8,Beginner,24000
Understanding Modern Finance,American Institute of Business and Economics,SPECIALIZATION,4.4,Intermediate,11000
Understanding Plants - Part I: What a Plant Knows,Tel Aviv University,COURSE,4.8,Beginner,49000
Understanding Research Methods,SOAS University of London,COURSE,4.5,Mixed,120000
Understanding and Visualizing Data with Python,University of Michigan,COURSE,4.7,Beginner,30000
Understanding the Brain: The Neurobiology of Everyday Life,The University of Chicago,COURSE,4.9,Beginner,130000
Unity Certified Programmer Exam Preparation,Unity,SPECIALIZATION,4.5,Intermediate,6100
Unity XR: How to Build AR and VR Apps,Unity,SPECIALIZATION,4.2,Beginner,12000
University Teaching,The University of Hong Kong,COURSE,4.8,Beginner,9500
Unraveling the Cycling City,University of Amsterdam,COURSE,4.9,Intermediate,3900
User Experience Research and Design,University of Michigan,SPECIALIZATION,4.8,Beginner,23000
User Interface Design,University of Minnesota,SPECIALIZATION,4.6,Intermediate,43000
Using Databases with Python,University of Michigan,COURSE,4.8,Mixed,220000
Using Python to Access Web Data,University of Michigan,COURSE,4.8,Mixed,310000
Using Python to Interact with the Operating System,Google,COURSE,4.7,Beginner,19000
Value Chain Management,University of Illinois at Urbana-Champaign,SPECIALIZATION,4.7,Intermediate,63000
Version Control with Git,Atlassian,COURSE,4.8,Mixed,40000
Viral Marketing and How to Craft Contagious Content,University of Pennsylvania,COURSE,4.7,Mixed,150000
Virtual Reality,"Goldsmiths, University of London",SPECIALIZATION,4.7,Beginner,37000
Virtual Teacher,"University of California, Irvine",SPECIALIZATION,4.3,Beginner,23000
Vital Signs: Understanding What the Body Is Telling Us,University of Pennsylvania,COURSE,4.8,Mixed,190000
Web Applications for Everybody,University of Michigan,SPECIALIZATION,4.8,Intermediate,120000
Web Design for Everybody: Basics of Web Development & Coding,University of Michigan,SPECIALIZATION,4.7,Beginner,280000
Weight Management: Beyond Balancing Calories,Emory University,COURSE,4.7,Beginner,34000
What Is Contemporary Art?,The Museum of Modern Art,COURSE,4.7,Beginner,120000
What future for education?,UCL Institute of Education,COURSE,4.7,Mixed,35000
What is Compliance?,University of Pennsylvania,COURSE,4.8,Mixed,6200
What is Data Science?,IBM,COURSE,4.7,Beginner,260000
What is Social?,Northwestern University,COURSE,4.6,Mixed,94000
Wine Tasting: Sensory Techniques for Wine Analysis,"University of California, Davis",COURSE,4.7,Beginner,32000
Wonders of Ancient Egypt,University of Pennsylvania,COURSE,4.8,Intermediate,17000
Write A Feature Length Screenplay For Film Or Television,Michigan State University,COURSE,4.9,Beginner,12000
Write Professional Emails in English,Georgia Institute of Technology,COURSE,4.7,Mixed,270000
Write Your First Novel,Michigan State University,COURSE,4.4,Beginner,18000
Writing in the Sciences,Stanford University,COURSE,4.9,Beginner,140000
e-Learning Ecologies: Innovative Approaches to Teaching and Learning for the Digital Age,University of Illinois at Urbana-Champaign,COURSE,4.5,Mixed,17000
iOS App Development with Swift,University of Toronto,SPECIALIZATION,3.9,Intermediate,76000
¿Qué hacen los buenos directivos? Prioridades de la Alta Dirección,IESE Business School,COURSE,4.7,Beginner,25000
Étudier en France: French Intermediate course B1-B2,École Polytechnique,COURSE,4.8,Intermediate,190000
Éxito Profesional,"University of California, Irvine",SPECIALIZATION,4.5,Beginner,69000
Искусство ведения бизнеса,Saint Petersburg State University,SPECIALIZATION,4.6,Beginner,14000
Искусство разработки на современном C++,E-Learning Development Fund,SPECIALIZATION,4.9,Intermediate,68000
Корпоративные финансы и стоимость компании,National Research University Higher School of Economics,SPECIALIZATION,4.5,Beginner,16000
Математика и Python для анализа данных,E-Learning Development Fund,COURSE,4.8,Beginner,67000
Машинное обучение и анализ данных,E-Learning Development Fund,SPECIALIZATION,4.7,Intermediate,77000
Основы Digital Маркетинга,National Research University Higher School of Economics,SPECIALIZATION,4.5,Intermediate,19000
Основы программирования на Python,National Research University Higher School of Economics,COURSE,4.6,Beginner,83000
Основы разработки на C++: белый пояс,E-Learning Development Fund,COURSE,4.9,Intermediate,41000
Погружение в Python,Moscow Institute of Physics and Technology,COURSE,4.7,Intermediate,45000
Программирование на Python,Mail.Ru Group,SPECIALIZATION,4.5,Intermediate,52000
Психолингвистика (Psycholinguistics),Saint Petersburg State University,COURSE,4.8,Mixed,21000
Разработка интерфейсов: вёрстка и JavaScript,E-Learning Development Fund,SPECIALIZATION,4.5,Intermediate,30000
Русский как иностранный,Saint Petersburg State University,SPECIALIZATION,4.6,Intermediate,9800
Финансовые инструменты для частного инвестора,National Research University Higher School of Economics,SPECIALIZATION,4.7,Beginner,38000
